id,innings,innings_team,over,delivery,batter,bowler,non_striker,batter_runs,extra_runs,total_runs
64083,0,Pakistan,0,0,Imran Farhat,IK Pathan,Taufeeq Umar,0,0,0
64083,0,Pakistan,0,1,Imran Farhat,IK Pathan,Taufeeq Umar,0,0,0
64083,0,Pakistan,0,2,Imran Farhat,IK Pathan,Taufeeq Umar,0,0,0
64083,0,Pakistan,0,3,Imran Farhat,IK Pathan,Taufeeq Umar,0,0,0
64083,0,Pakistan,0,4,Imran Farhat,IK Pathan,Taufeeq Umar,0,4,4
64083,0,Pakistan,0,5,Imran Farhat,IK Pathan,Taufeeq Umar,0,0,0
64083,0,Pakistan,1,0,Taufeeq Umar,L Balaji,Imran Farhat,0,0,0
64083,0,Pakistan,1,1,Taufeeq Umar,L Balaji,Imran Farhat,4,0,4
64083,0,Pakistan,1,2,Taufeeq Umar,L Balaji,Imran Farhat,0,0,0
64083,0,Pakistan,1,3,Taufeeq Umar,L Balaji,Imran Farhat,0,1,1
64083,0,Pakistan,1,4,Taufeeq Umar,L Balaji,Imran Farhat,0,0,0
64083,0,Pakistan,1,5,Taufeeq Umar,L Balaji,Imran Farhat,0,0,0
64083,0,Pakistan,1,6,Taufeeq Umar,L Balaji,Imran Farhat,0,0,0
64083,0,Pakistan,2,0,Imran Farhat,IK Pathan,Taufeeq Umar,0,0,0
64083,0,Pakistan,2,1,Imran Farhat,IK Pathan,Taufeeq Umar,0,0,0
64083,0,Pakistan,2,2,Imran Farhat,IK Pathan,Taufeeq Umar,0,0,0
64083,0,Pakistan,2,3,Imran Farhat,IK Pathan,Taufeeq Umar,0,0,0
64083,0,Pakistan,2,4,Imran Farhat,IK Pathan,Taufeeq Umar,0,0,0
64083,0,Pakistan,2,5,Imran Farhat,IK Pathan,Taufeeq Umar,0,0,0
64083,0,Pakistan,3,0,Taufeeq Umar,L Balaji,Imran Farhat,0,0,0
64083,0,Pakistan,3,1,Taufeeq Umar,L Balaji,Imran Farhat,0,1,1
64083,0,Pakistan,3,2,Imran Farhat,L Balaji,Taufeeq Umar,0,0,0
64083,0,Pakistan,3,3,Imran Farhat,L Balaji,Taufeeq Umar,1,0,1
64083,0,Pakistan,3,4,Taufeeq Umar,L Balaji,Imran Farhat,0,0,0
64083,0,Pakistan,3,5,Taufeeq Umar,L Balaji,Imran Farhat,0,0,0
64083,0,Pakistan,4,0,Imran Farhat,IK Pathan,Taufeeq Umar,1,0,1
64083,0,Pakistan,4,1,Taufeeq Umar,IK Pathan,Imran Farhat,0,0,0
64083,0,Pakistan,4,2,Taufeeq Umar,IK Pathan,Imran Farhat,0,0,0
64083,0,Pakistan,4,3,Taufeeq Umar,IK Pathan,Imran Farhat,0,0,0
64083,0,Pakistan,4,4,Taufeeq Umar,IK Pathan,Imran Farhat,0,0,0
64083,0,Pakistan,4,5,Taufeeq Umar,IK Pathan,Imran Farhat,0,0,0
64083,0,Pakistan,5,0,Imran Farhat,L Balaji,Taufeeq Umar,0,0,0
64083,0,Pakistan,5,1,Imran Farhat,L Balaji,Taufeeq Umar,0,0,0
64083,0,Pakistan,5,2,Imran Farhat,L Balaji,Taufeeq Umar,0,0,0
64083,0,Pakistan,5,3,Imran Farhat,L Balaji,Taufeeq Umar,0,0,0
64083,0,Pakistan,5,4,Imran Farhat,L Balaji,Taufeeq Umar,0,0,0
64083,0,Pakistan,5,5,Imran Farhat,L Balaji,Taufeeq Umar,0,0,0
64083,0,Pakistan,6,0,Taufeeq Umar,IK Pathan,Imran Farhat,0,0,0
64083,0,Pakistan,6,1,Taufeeq Umar,IK Pathan,Imran Farhat,0,0,0
64083,0,Pakistan,6,2,Taufeeq Umar,IK Pathan,Imran Farhat,0,0,0
64083,0,Pakistan,6,3,Taufeeq Umar,IK Pathan,Imran Farhat,4,0,4
64083,0,Pakistan,6,4,Taufeeq Umar,IK Pathan,Imran Farhat,0,0,0
64083,0,Pakistan,6,5,Taufeeq Umar,IK Pathan,Imran Farhat,0,0,0
64083,0,Pakistan,7,0,Imran Farhat,A Nehra,Taufeeq Umar,0,1,1
64083,0,Pakistan,7,1,Imran Farhat,A Nehra,Taufeeq Umar,0,0,0
64083,0,Pakistan,7,2,Imran Farhat,A Nehra,Taufeeq Umar,4,0,4
64083,0,Pakistan,7,3,Imran Farhat,A Nehra,Taufeeq Umar,0,0,0
64083,0,Pakistan,7,4,Imran Farhat,A Nehra,Taufeeq Umar,0,0,0
64083,0,Pakistan,7,5,Imran Farhat,A Nehra,Taufeeq Umar,0,0,0
64083,0,Pakistan,7,6,Imran Farhat,A Nehra,Taufeeq Umar,2,0,2
64083,0,Pakistan,8,0,Taufeeq Umar,IK Pathan,Imran Farhat,0,0,0
64083,0,Pakistan,8,1,Taufeeq Umar,IK Pathan,Imran Farhat,0,0,0
64083,0,Pakistan,8,2,Taufeeq Umar,IK Pathan,Imran Farhat,0,0,0
64083,0,Pakistan,8,3,Taufeeq Umar,IK Pathan,Imran Farhat,1,0,1
64083,0,Pakistan,8,4,Imran Farhat,IK Pathan,Taufeeq Umar,0,0,0
64083,0,Pakistan,8,5,Imran Farhat,IK Pathan,Taufeeq Umar,4,0,4
64083,0,Pakistan,9,0,Taufeeq Umar,A Nehra,Imran Farhat,0,0,0
64083,0,Pakistan,9,1,Taufeeq Umar,A Nehra,Imran Farhat,0,1,1
64083,0,Pakistan,9,2,Imran Farhat,A Nehra,Taufeeq Umar,0,0,0
64083,0,Pakistan,9,3,Imran Farhat,A Nehra,Taufeeq Umar,4,0,4
64083,0,Pakistan,9,4,Imran Farhat,A Nehra,Taufeeq Umar,0,0,0
64083,0,Pakistan,9,5,Imran Farhat,A Nehra,Taufeeq Umar,0,0,0
64083,0,Pakistan,10,0,Taufeeq Umar,L Balaji,Imran Farhat,0,0,0
64083,0,Pakistan,10,1,Taufeeq Umar,L Balaji,Imran Farhat,0,0,0
64083,0,Pakistan,10,2,Taufeeq Umar,L Balaji,Imran Farhat,0,0,0
64083,0,Pakistan,10,3,Taufeeq Umar,L Balaji,Imran Farhat,0,1,1
64083,0,Pakistan,10,4,Taufeeq Umar,L Balaji,Imran Farhat,0,0,0
64083,0,Pakistan,10,5,Taufeeq Umar,L Balaji,Imran Farhat,0,0,0
64083,0,Pakistan,10,6,Yasir Hameed,L Balaji,Imran Farhat,0,0,0
64083,0,Pakistan,11,0,Imran Farhat,A Nehra,Yasir Hameed,0,0,0
64083,0,Pakistan,11,1,Imran Farhat,A Nehra,Yasir Hameed,0,0,0
64083,0,Pakistan,11,2,Imran Farhat,A Nehra,Yasir Hameed,0,0,0
64083,0,Pakistan,11,3,Imran Farhat,A Nehra,Yasir Hameed,0,0,0
64083,0,Pakistan,11,4,Imran Farhat,A Nehra,Yasir Hameed,0,0,0
64083,0,Pakistan,11,5,Imran Farhat,A Nehra,Yasir Hameed,0,0,0
64083,0,Pakistan,12,0,Yasir Hameed,L Balaji,Inzamam-ul-Haq,0,0,0
64083,0,Pakistan,12,1,Yasir Hameed,L Balaji,Inzamam-ul-Haq,0,0,0
64083,0,Pakistan,12,2,Yasir Hameed,L Balaji,Inzamam-ul-Haq,0,0,0
64083,0,Pakistan,12,3,Yasir Hameed,L Balaji,Inzamam-ul-Haq,0,0,0
64083,0,Pakistan,12,4,Yasir Hameed,L Balaji,Inzamam-ul-Haq,0,0,0
64083,0,Pakistan,12,5,Yasir Hameed,L Balaji,Inzamam-ul-Haq,1,0,1
64083,0,Pakistan,13,0,Yasir Hameed,A Nehra,Inzamam-ul-Haq,0,0,0
64083,0,Pakistan,13,1,Yasir Hameed,A Nehra,Inzamam-ul-Haq,0,0,0
64083,0,Pakistan,13,2,Yasir Hameed,A Nehra,Inzamam-ul-Haq,0,0,0
64083,0,Pakistan,13,3,Yasir Hameed,A Nehra,Inzamam-ul-Haq,2,0,2
64083,0,Pakistan,13,4,Yasir Hameed,A Nehra,Inzamam-ul-Haq,0,0,0
64083,0,Pakistan,13,5,Yasir Hameed,A Nehra,Inzamam-ul-Haq,0,0,0
64083,0,Pakistan,14,0,Inzamam-ul-Haq,L Balaji,Yasir Hameed,4,0,4
64083,0,Pakistan,14,1,Inzamam-ul-Haq,L Balaji,Yasir Hameed,0,0,0
64083,0,Pakistan,14,2,Inzamam-ul-Haq,L Balaji,Yasir Hameed,0,0,0
64083,0,Pakistan,14,3,Inzamam-ul-Haq,L Balaji,Yasir Hameed,0,0,0
64083,0,Pakistan,14,4,Inzamam-ul-Haq,L Balaji,Yasir Hameed,2,0,2
64083,0,Pakistan,14,5,Inzamam-ul-Haq,L Balaji,Yasir Hameed,0,0,0
64083,0,Pakistan,15,0,Yasir Hameed,A Nehra,Inzamam-ul-Haq,2,0,2
64083,0,Pakistan,15,1,Yasir Hameed,A Nehra,Inzamam-ul-Haq,0,0,0
64083,0,Pakistan,15,2,Yasir Hameed,A Nehra,Inzamam-ul-Haq,1,0,1
64083,0,Pakistan,15,3,Inzamam-ul-Haq,A Nehra,Yasir Hameed,2,0,2
64083,0,Pakistan,15,4,Inzamam-ul-Haq,A Nehra,Yasir Hameed,0,0,0
64083,0,Pakistan,15,5,Inzamam-ul-Haq,A Nehra,Yasir Hameed,0,0,0
64083,0,Pakistan,16,0,Yasir Hameed,L Balaji,Inzamam-ul-Haq,4,0,4
64083,0,Pakistan,16,1,Yasir Hameed,L Balaji,Inzamam-ul-Haq,0,0,0
64083,0,Pakistan,16,2,Yasir Hameed,L Balaji,Inzamam-ul-Haq,4,0,4
64083,0,Pakistan,16,3,Yasir Hameed,L Balaji,Inzamam-ul-Haq,0,0,0
64083,0,Pakistan,16,4,Yasir Hameed,L Balaji,Inzamam-ul-Haq,2,0,2
64083,0,Pakistan,16,5,Yasir Hameed,L Balaji,Inzamam-ul-Haq,0,0,0
64083,0,Pakistan,17,0,Inzamam-ul-Haq,A Nehra,Yasir Hameed,0,0,0
64083,0,Pakistan,17,1,Inzamam-ul-Haq,A Nehra,Yasir Hameed,1,0,1
64083,0,Pakistan,17,2,Yasir Hameed,A Nehra,Inzamam-ul-Haq,0,0,0
64083,0,Pakistan,17,3,Yasir Hameed,A Nehra,Inzamam-ul-Haq,0,0,0
64083,0,Pakistan,17,4,Yasir Hameed,A Nehra,Inzamam-ul-Haq,0,0,0
64083,0,Pakistan,17,5,Yasir Hameed,A Nehra,Inzamam-ul-Haq,4,0,4
64083,0,Pakistan,18,0,Inzamam-ul-Haq,IK Pathan,Yasir Hameed,0,0,0
64083,0,Pakistan,18,1,Inzamam-ul-Haq,IK Pathan,Yasir Hameed,1,0,1
64083,0,Pakistan,18,2,Yasir Hameed,IK Pathan,Inzamam-ul-Haq,0,0,0
64083,0,Pakistan,18,3,Yasir Hameed,IK Pathan,Inzamam-ul-Haq,0,0,0
64083,0,Pakistan,18,4,Yasir Hameed,IK Pathan,Inzamam-ul-Haq,0,0,0
64083,0,Pakistan,18,5,Yasir Hameed,IK Pathan,Inzamam-ul-Haq,0,0,0
64083,0,Pakistan,19,0,Inzamam-ul-Haq,A Nehra,Yasir Hameed,0,0,0
64083,0,Pakistan,19,1,Inzamam-ul-Haq,A Nehra,Yasir Hameed,0,0,0
64083,0,Pakistan,19,2,Inzamam-ul-Haq,A Nehra,Yasir Hameed,0,0,0
64083,0,Pakistan,19,3,Inzamam-ul-Haq,A Nehra,Yasir Hameed,0,0,0
64083,0,Pakistan,19,4,Inzamam-ul-Haq,A Nehra,Yasir Hameed,1,0,1
64083,0,Pakistan,19,5,Yasir Hameed,A Nehra,Inzamam-ul-Haq,4,0,4
64083,0,Pakistan,20,0,Inzamam-ul-Haq,IK Pathan,Yasir Hameed,0,1,1
